,_id,product,specifications
66,66f387b6ed22534aedbf77a1,Iron,"• Fabric guide indicator
• Adjustable steam and spray self cleaning system.
• Ceramic sole plate
• Auto shut off
• Anti calc
• Anti drip
• Dry / steam / spray / burst function
• 220v-50hz
• Watts 1600w
• Auto off after 30 sec in horizontal,
8 min in vertical positions
• 3mtr power cod
• Water tank capacity: 300ml"
67,66f387b6ed22534aedbf77c7,Personal Scale,"• 5 Mm tempered safety glass platform
• Automatic power generation control.
• Capacity: 180kg/396lbs
• Division: 0.1kg/0.2lb
• Battery-free technology,
• Environment-friendly."
68,66f387b6ed22534aedbf7775,Mini Bar,"ABSORPTION MINI-REFRIGERATOR 
CAPACITY 30 L
COOLING SYSTEM ABSORPTION (NH3, H2O, HE) FOAM VESICANT C5H10 / C-PENTANE
COOLING TEMPERATURE  4~6℃ TO 7~9℃ WEIGHT 15 KG
AC VOLTAGE AC 220~240V / 50~60HZ RATED POWER 70 W
CONSUMPTION OF ENERGY 0.70 KWH/24H 
DIMENSIONS 400MM×410MM×500MM"
69,66f387b6ed22534aedbf7776,Mini Bar,"ABSORPTION MINI-REFRIGERATOR 
CAPACITY 30 L
COOLING SYSTEM ABSORPTION (NH3, H2O, HE) FOAM VESICANT C5H10 / C-PENTANE
COOLING TEMPERATURE  4~6℃ TO 7~9℃ WEIGHT 15 KG
AC VOLTAGE AC 220~240V / 50~60HZ RATED POWER 70 W
CONSUMPTION OF ENERGY 1.2 KWH/24H
DIMENSIONS 400MM×420MM×500MM"
70,66f387b6ed22534aedbf7797,Ice Bucket,"• Stainless steel | Double wall
• Capacity 1 ltr with ice tong
• Finish : Matt / Mirror
• Specifically designed for preserving temperature
upto 10hrs"
71,66f387b6ed22534aedbf77ab,Shoe Tree,"• Wood with stainless steel
• Sizes available as per request"
72,66f387b6ed22534aedbf77ad,Laundry Basket,"• High quiality synthetic cane
with linen cloth liner
• Size : 420 * 280 * 390 mm"
73,66f387b6ed22534aedbf77ae,Laundry Basket,"• Cane basket
• The plastic feet protect from moisture.
• Each basket is woven by hand
• Size : 410 * 410 * 600 mm"
74,66f387b6ed22534aedbf7764,Alarm Clock,"• Fashion design digital alarm clock
• Wooden frame
• Black matt finish
• With night light"
75,66f387b6ed22534aedbf7769,Luggage Rack,"• Foldable luggage rack
• Solid metal construction
• Silver chrome finish
• 4 Durable black straps
• Size : 610*430*540mm"
76,66f387b6ed22534aedbf7768,Torch,"• Power-off mode: hall magnetic induction switch,
light up when removed from holder.
• Battery: dedicated rechargeable battery.
• Light source: high-power leo chip lamp beads
• With flashing indicator light for emergency escape
• Charging mode: the battery needs to be independently
charged by usb.
• 72 Hours of continuous light ing, 18 months of standby on
a single charge
• Colocr: Black aluminum alloy flashlight.
• Rechargeable battery one year warranty.
• Size: 160 x 30 x 44 mm"
77,66f387b6ed22534aedbf77c9,Waste Bins,"• Elegant pedal bin
• With soft close & pp liner
• Capacity : 3 ltr
• Finish : matt
• Color : SS / Black"
78,66f387b6ed22534aedbf776d,Luggage Rack,"• Modern and elegant design
• 6 Durable black straps
• Foldable with back bar
• Made of solid wood
• Water and pest resistant
• Size : 600*460*520mm"
79,66f387b6ed22534aedbf776e,Luggage Rack,"• Stainless steel
• High quilaty 6 pu leather strips
• Foldable
• Size : 650*600*600mm"
80,66f387b6ed22534aedbf7777,Mini Bar,"ABSORPTION MINI-REFRIGERATOR 
CAPACITY 40 L
COOLING SYSTEM ABSORPTION (NH3, H2O, HE) FOAM VESICANT C5H10 / C-PENTANE
COOLING TEMPERATURE  4~6℃ TO 7~9℃ WEIGHT 18 KG
AC VOLTAGE AC 220~240V / 50~60HZ RATED POWER 70 W
CONSUMPTION OF ENERGY 0.75 KWH/24H 
DIMENSIONS 400MM×430MM×560MM"
81,66f387b6ed22534aedbf7781,Kettle,"• Food grade 304# stainless steel
• Double wall & cool touch
• Automatic shut-off
• Boil dry & overheating protection
• With uk strix thermo control
• Seamless tank, easy to clean
• 220-240v - 1500w, 50/60hz
• Capacity : 1.2 Ltr
• Color : white with grey / black"
82,66f387b6ed22534aedbf7787,Kettle,"• 304# Stainless steel
• Automatic shut-off
• Boil dry & overheating protection
• With max line inside of the kettle body
• With uk strix thermo control
• 220-240v - 1000w, 50/60hz
• Capacity : 1 ltr"
83,66f387b6ed22534aedbf778d,Coffee Plunger,"• 304# Stainless steel with glass
• Black anti scald handle
• Glass thickness 2 mm
• Capacity :  600ml"
84,66f387b6ed22534aedbf7791,Coffee Plunger,"• High grade 18/10 stainless steel
• Double wall construction for superior
insulation & Heat retention
• Steel mesh plunger mechanism
• Capacity :  800 ml
• Finish : Matt / Mirror"
85,66f387b6ed22534aedbf779a,Bottle Opener,"• With levers to make uncorking
of bottles easier
• Bottle opener in the handle.
• Length : 16 cm"
86,66f387b6ed22534aedbf77a0,LOGGER UNIT,"• TRAIL OF 200 RECORDS
• It is easy to view a history of actions
• (Records of the dates and times
• When the safe was opened) and to
• Unlock the safe."
87,66f387b6ed22534aedbf777b,Mini Bar,"ABSORPTION MINI-REFRIGERATOR 
CAPACITY 60 L
COOLING SYSTEM ABSORPTION (NH3, H2O, HE) FOAM VESICANT C5H10 / C-PENTANE
COOLING TEMPERATURE  4~6℃ TO 7~9℃ WEIGHT 25.5 KG
AC VOLTAGE AC 220~240V / 50~60HZ RATED POWER 85 W
CONSUMPTION OF ENERGY 1.45 KWH/24H 
DIMENSIONS 490MM×500MM×580MM"
88,66f387b6ed22534aedbf7788,Kettle,"• 304# Stainless steel with black pp handle
• 360° Cordless base.
• Removable filter.
• External water level indicator
• Indicator light
• Safety locking lid
• Automatic switch off
• With uk strix thermo control
• With concealed heating element
• 220-240v~50hz,1500-1785w
• Capacity : 1.2 Ltr
• Finish : Matt / Mirror"
89,66f387b6ed22534aedbf7793,Coffee Plunger,"• High grade 18/10 stainless steel
• Double wall construction for superior insulation
& heat retention
• Steel mesh plunger mechanism
• Capacity :   800 ml
• Finish : Matt / Mirror"
90,66f387b6ed22534aedbf779e,Safe,"• Sand stone matt finish
• Size (w*d*h) : 380 * 450 * 200 mm
• Thickness of the safe body : 2mm
• Thickness of the door : 5mm
• Operate by 3-6 digital code
• Led display
• Fault detecting timing function
• Safe will hold 15 min in case of 3 times wrong try
• With led light inside
• Audit trail of last 1000 past events
• Available color : Black / White"
91,66f387b6ed22534aedbf779f,Safe,"• Size (w*d*h) : 420 * 410 * 230 mm
• Thickness of the safe body : 1.5 Mm
• Thickness of the door : 5 mm
Feature:
• 4 Ways to open the safe
-Private code(3~6 digits)
- Card locking
- Master code
- Key optional
• Safe will hold 15 min in case of 3 times wrong try
• Pre-drilled holes with fixing bolts
• Emergency battery hole
• Power : 4*1.5v cells
• Light, ceu system, audit trial of last
1000 opening record
• Color : Ivory / Black"
92,66f387b6ed22534aedbf77a2,Iron,"• Fabric guide indicator
• Adjustable steam and spray self cleaning system.
• Non stick teflon coated sole plate
• Anti calc
• Anti drip
• Dry / steam / spray / burst fuction
• 220v-50hz
• Watts 1200w
• Auto off after 30 sec in horizontal,
8 min in vertical positions
• 3mtr power cord
• Water tank capacity: 220ml"
93,66f387b6ed22534aedbf77a9,Organiser,"• PBT high temperature resistant material
Features :
• Heat resistant accessories with hook & fixing screws
• Weight : 440g
• Color : Black/ White
FOR - IRON 001"
94,66f387b6ed22534aedbf77cb,Waste Bins,"• Sleak design pedal bin
• Noise-free
• Fingerprint resistant
• Soft close
• Capacity : 6 ltr"
95,66f387b6ed22534aedbf77ce,Bath Tub Caddy,"• 304# Stainless steel
• Extendable bathtub caddy"
96,66f387b6ed22534aedbf77d0,Bath Tub Caddy,"• Wooden
• Extendable bathtub caddy"
97,66f387b6ed22534aedbf776b,Luggage Rack,"• Stainless steel
• 5 Durable pu leather strip for extra support
• Double bar back support
• Foldable
• Size : 600*450*600mm"
98,66f387b6ed22534aedbf776c,Luggage Rack,"• Solid rubber wood
• Water & pest resistant
• Foldable
• Wood color as per client request
• Size : 600*450*680mm"
99,66f387b6ed22534aedbf777f,TEA TRAY(SACHET HOLDER),"• High grade melamine material
• Tea tray : 155*115*50mm
• Color : Black / White"
100,66f387b6ed22534aedbf7789,Kettle,"• 304 Grade premium stainless steel
• Capacity: 1.0 Liters
• Stainless steel construction 360 degree
• Rotational base automatic thermostat
• Switch off while boiling overheat and
• Dry-boil protrction power on/off
• Indicator lamp 220-240v, 50/60h, 1850-
• 2200w"
101,66f387b6ed22534aedbf778f,Coffee Plunger,"• High grade 18/10 stainless steel
• Double wall construction for superior insulation
& heat retention
• Steel mesh plunger mechanism
• Capacity : 500 ml and 800ml
• Finish : Matt / Mirror"
102,66f387b6ed22534aedbf77aa,Organiser,"• Powder coated metal hook
• Color : Black/ White"
103,66f387b6ed22534aedbf77b7,Mirror,"• Size : 8” wall mounted round mirror
• With led light, hardwired connection
• 3x magnification
• Light: white light
• Matt Black
• Double round arms, round base"
104,66f387b6ed22534aedbf77c4,Personal Scale,"• Glass material
• Color : black
• Large, easy to read 1.2” Lcd display
• 150kg/330lb capacity
• Four digit readout in 0.1 Kg or 0.2lb
• Unit : kg / lb/ st
• Powered by lithium battery
• Size : 300 * 300 * 22 mm"
105,66f387b6ed22534aedbf77db,ANTI THEFT CLIP HANGER 12 MM,"MATERIAL: WOODEN 
SKIRT HANGERS
12  MM THICKNESS"
106,66f387b6ed22534aedbf77dc,"WOODEN COAT BRUSH 10""","WOODEN COAT BRUSH 
SIZE  : 10"""
107,66f387b6ed22534aedbf7779,Mini Bar,"ABSORPTION MINI-REFRIGERATOR 
CAPACITY 40 L
COOLING SYSTEM ABSORPTION (NH3, H2O, HE) FOAM VESICANT C5H10 / C-PENTANE
COOLING TEMPERATURE  4~6℃ TO 7~9℃ WEIGHT 18 KG
AC VOLTAGE AC 220~240V / 50~60HZ RATED POWER 70 W
CONSUMPTION OF ENERGY 1.30 KWH/24H 
DIMENSIONS 400MM×440MM×560MM"
108,66f387b6ed22534aedbf777e,BIG TRAY,"• High grade melamine material
• Big tray : 385*308* 22.5mm
• Color : Black / White"
109,66f387b6ed22534aedbf7780,MEDIUM TRAY,"• High grade melamine material
• Medium tray : 335*132*11.0mm
• Color : Black / White"
110,66f387b6ed22534aedbf7785,Kettle,"• 304# Stainless steel matt finish
• 360° Cordless base
• Concealed stainless steel heating element
• Wide mouth for easy cleaning
• With uk strix thermo control
• Automatically switch off with power indicator light
• Boil dry and overheat protection
• Safety lock lid
• 220~240v 50/60hz, 1200w
• Capacity : 0.8 Ltr"
111,66f387b6ed22534aedbf778a,Kettle,"• Double wall 304 S/S electric kettle--inner
flask:one-piece,weldless; outside housing:304 S/S
free of finger marks;
• Scald proof: outside housing temperature is only 60
when water boils, safe to use;
• Elegant design, fine workcraft,specially for luxury
hotels and resorts;
• Open handle, flat hinged lid; optimized filter and steam
vent, easy to clean
• Strix thermocontrol, three-action protection;
• Capacity: 0.6l; AC220-240v, 1000w, saving water and
energy, eco-friendly.
• H:175mm, W: 180mm,"
112,66f387b6ed22534aedbf778c,Coffee Plunger,"• 304# Stainless steel with glass
• Black anti scald handle
• Glass thickness 2 mm
• Capacity : 350 ml  "
113,66f387b6ed22534aedbf7792,Coffee Plunger,"• High grade 18/10 stainless steel
• Double wall construction for superior insulation
& heat retention
• Steel mesh plunger mechanism
• Capacity : 500 ml
• Finish : Matt / Mirror"
114,66f387b6ed22534aedbf7794,Ice Bucket,"• Stainless steel
• Double wall
• Capacity 1.2 Ltr
• With ice tong
• Finish : Matt / Mirror"
115,66f387b6ed22534aedbf7798,Ice Bucket,"• Double wall
• Capacity 1.3 Ltr
• An easy-carry handle and ice tongs with
built-in lid storage
• Keeps ice longer without messy outside
condensation"
116,66f387b6ed22534aedbf779c,Safe,"• Rust-proof surface with quality
powder coating finish
• Size (w*d*h) : 420 * 370 * 200 mm
• Thickness of the safe body : 1.5 Mm
• Thickness of the door : 4 mm
Feature:
• Digital keypad with bright led display
• Auto electronic lock
• Motorized opening/locking by 2 bolts: 20mm dia
• 3 Ways to open the safe
-Private code(3~6 digits)
- Master code,  - Key optional
• Safe will hold 15 min in case of 3 times wrong try
• Pre-drilled holes with fixing bolts
• Emergency battery hole,  • Power : 4*1.5v cells
• Light, ceu system, audit trial of last
1000 opening record
• Available color : Black / White"
117,66f387b6ed22534aedbf77b3,Mirror,"• Acrylic wall mounted round mirror with led light
• Solid brass with chrome plated, hardwired
• Double arm single side led mirror
• Size : 8” DIA
• Power : AC 110-260v
• Fold : 3x Magnification
• Light color : White / Warm White / Yellow"
118,66f387b6ed22534aedbf77b2,Mirror,"• Acrylic wall mounted round mirror with led light
• Solid brass with chrome plated, hardwired
• Double arm single side led mirror
• Size : 8”
• Power : AC 110-260v, 4 x aa batteries,
rechargeable batteries
• Fold : 3x magnification
• Light color : White / Warm White / Yellow"
119,66f387b6ed22534aedbf77ba,Hair Dryer,"• High Density ABS Material
• Concealed shaver socket unit
• 2 Speed function
• Size : 166*88*235 mm
• Color : White
• 220V(50hZ-60Hz) | 1100W | 15m/s"
120,66f387b6ed22534aedbf77bb,Hair Dryer,"• Dc motor
• 2 Speeds/3 temperature settings
• Cool shot fuction
• Ionic function
• Hanging-up loop
• Safety cut off
• Removable end cap for easy cleaning
• Powerful motor
• Styling concentrator
• Removable end cap
• Vde plug.
• Hanging-up loop
• 220-240v~50/60hz
• 1875w
• Finish : matt/rubber"
121,66f387b6ed22534aedbf77c1,Hair Dryer Bag,MATERIAL : CLOTH
122,66f387b6ed22534aedbf77c6,Personal Scale,"• 5 Mm tempered safety glass platform
• Automatic power generation control.
• Capacity: 180kg/396lbs
• Division: 0.1kg/0.2lb
• Battery-free technology,
• Environment-friendly."
123,66f387b6ed22534aedbf77cc,Waste Bins,"• Noise-free
• Fingerprint resistant
• Soft close
• Plastic bag fixel
• Capacity : 5 ltr"
124,66f387b6ed22534aedbf7786,Kettle tray set FOR EK010,"• High grade melamine material
• Big tray : 385*308* 22.5mm
• Medium tray : 335*132*11.0mm
• Tea tray : 155*115*50mm
• Color : Black / White
• Kettle compatible with IR-EK010"
125,66f387b6ed22534aedbf77af,Laundry Basket,"• Polyrattan synthetic weave basket with linen
fabric liner
• Size : 250 * 250 mm"
126,66f387b6ed22534aedbf77bf,Hair Dryer,"• 220-240v~50hz 2200 w
• 2 Speed & 3 heats controled by 2 slide swtich
• Safety cut off
• Hanging-up loop
• Cool shot knob
• Styling concentrator
• Rear removable airinlet metal grill
• With folded handle
• 2x1.00mm flat pvc coiled cable,3m when extended"
127,66f387b6ed22534aedbf77d6,SKIRT HANGERS CLIP 20 MM,"MATERIAL: WOODEN 
TROUSER HANGERS
20  MM  THICKNESS"
128,66f387b6ed22534aedbf77a8,Organiser,"• PBT high temperature resistant material
Features :
• Heat resistant accessories with hook & fixing screws
• Weight : 440g
• Color : Black/ White
FOR - IRON 002 AND 003 MODEL"
129,66f387b6ed22534aedbf77b9,Hair Dryer,"• 3 Airflow 60 and 90 m3/h including cold shot
• Overheating protection system with main power on
the hanging pedestal. It is convenient, safe and energy
saving shaving socket is that the power outputs less
than 15 wattage
• Spiral cord length 40 cm extendable
• Impact resistant
• Size : 250*260*140 mm
• Color : White / Black
• 220v(50hz-60hz) | 1600w | 14m/s"
130,66f387b6ed22534aedbf77bd,Hair Dryer,"• 220-240v 2000w 50-60hz
• Retractable cord
• Two speed & three temperature
• Cool shot function
• Removable end cap for easy cleaning
• Hang up hook"
131,66f387b6ed22534aedbf77d2,Bath Tub Pillow,• Luxury soft gel material
132,66f387b6ed22534aedbf77c3,Personal Scale,"• Glass material
• Powered by lithium battery
• Large, easy to read 1.2” Lcd display
• 150kg/330lb capacity
• Four digit readout in 0.1 Kg or 0.2lb
• Unit : kg / lb/ st
• Max weight : 180kg"
133,66f387b6ed22534aedbf77c5,Personal Scale,"• Reverse lcd with backlight
• Capacity:180kg /400 lb
• Power :2x1.5v AAA(excluded)
• Wood finish"
134,66f387b6ed22534aedbf77df,"WOODEN SHOE HORN 15""","WOODEN SHOE HORN 
SIZE  : 15"""
135,66f387b6ed22534aedbf776a,Luggage Rack,"• Foldable luggage rack
• Solid metal construction with back support
• Silver chrome finish
• 4 Durable black straps
• Size : 680*405*715mm
• With back rest support"
136,66f387b6ed22534aedbf7782,Kettle tray set FOR EK005,"• Tray set for kettle IR EK005
• High density abs material with stainless
• Steel drip tray, compartments for sachets &
tea spoon"
137,66f387b6ed22534aedbf7774,Mini Bar,"ABSORPTION MINI-REFRIGERATOR 
CAPACITY 25 L
COOLING SYSTEM ABSORPTION (NH3, H2O, HE) FOAM VESICANT C5H10 / C-PENTANE
COOLING TEMPERATURE  5~13 ℃
WEIGHT 21 KG
AC VOLTAGE AC 220~240V / 50~60HZ RATED POWER 70 W
CONSUMPTION OF ENERGY 1.1 KWH/24H 
DIMENSIONS 400MM×413MM×435MM W X D X H"
138,66f387b6ed22534aedbf7784,TRAY FOR EK008,"• Abs construction for more strength and durability
• Easy to clean
• Finished in wood grain texture
• Removable 304 ss drip tray to contain spills
• Size: 36 x 24 x 3.5cm
• Kettle compatible with IR-EK008"
139,66f387b6ed22534aedbf779b,Coffee Machine,"• Size: 330mm x 155mm x 255mm
• Voltage : 220-240v/110-120v
• Frequency : 50/60hz
• Rated power: 1400w
• Pressure : 19bar
• Water tank capacity : 800ml
• Rated power: 1400w
• Pressure : 19bar
• Water tank capacity : 800ml
• Color : Black/ Red/ White"
140,66f387b6ed22534aedbf77d3,TROUSER HANGERS 12 MM,"MATERIAL: WOODEN 
TROUSER HANGERS
12  MM  THICKNESS"
141,66f387b6ed22534aedbf77d9,COAT HANGERS - 45 MM,"MATERIAL: WOODEN COAT HANGERS
45 MM THICKNESS"
142,66f387b6ed22534aedbf77de,"WOODEN SHOE HORN 10""","WOODEN SHOE HORN 
SIZE  : 10"""
143,66f5702897e46f2f11f19f57,sdkjfh,lkfgl
